#{"t_start": 1782230142.3703957, "env_id": "BipedalWalker-v3"}
r,l,t
-108.40936,59,0.051745
-113.928619,68,0.547681
-100.784774,82,2.045755
-88.351535,1600,35.096451
-94.407509,1600,70.39028
-85.849195,1600,104.85721
-78.696844,1600,138.790021
-126.698236,100,140.790266
-104.670121,64,142.173757
-63.866952,1600,175.886733
-63.540235,1600,209.814965
-98.328912,89,222.900463
-53.593175,1600,257.697637
-57.162197,1600,291.513407
-132.50957,989,312.866973
-121.11016,692,327.823398
-116.607621,62,329.236734
-98.948613,83,331.04967
-101.413441,78,332.837794
-134.195655,137,335.972719
-112.999887,48,336.845499
-197.277293,1205,362.688796
-111.763741,57,363.91063
-117.838474,84,365.733401
-148.323676,498,375.691086
