#{"t_start": 1782230520.8951876, "env_id": "BipedalWalker-v3"}
r,l,t
-99.783193,91,1.021122
-105.319355,63,2.00108
-102.512122,50,2.923008
-102.490097,50,3.845365
-102.538508,50,4.771051
-102.540262,50,5.684273
-102.508895,50,6.597288
-102.538409,50,7.502932
-104.169971,53,8.480246
-101.636372,69,9.735806
-101.465838,69,11.020664
-101.470959,68,12.270723
-101.632984,69,13.565158
-101.636665,69,14.923002
-101.635994,69,16.33317
-101.635977,69,17.743318
-101.638376,69,19.138949
-101.577986,69,20.538337
-99.916085,71,21.985307
-101.166397,68,23.363839
-101.752014,72,24.826961
-101.163019,65,26.156788
